"Position / 
Position","Length / 
Longueur","Start / 
Dï¿½b","Start / 
Fin","Variable / 
Variable","Variable Name - English / 
Nom de Variable - Anglais","Variable Name - French / 
Nom de Variable - Francais",Note 1 - English,Note 1 - French,Note 2 - English,Note 2 - French,"Code / 
Code","Label - English /
ï¿½tiquette - Angla","Label - French /
ï¿½tiquette - Franca"
98,2,1997,,whyleftn,Reason for leaving job during previous year ,Raisons pour avoir quittï¿½ l'emploi durant l'annï¿½e prï¿½c,,,,,,,
,,,,,,,,,,,0,"Job leavers, other reasons","Ont quittï¿½ leur emploi, autres raiso"
,,,,,,,,,,,1,"Job leavers, own illness or disability","Ont quittï¿½ leur emploi, maladie ou incapaci"
,,,,,,,,,,,2,"Job leavers, caring for children","Ont quittï¿½ leur emploi, soins des enfan"
,,,,,,,,,,,3,"Job leavers, pregnancy","Ont quittï¿½ leur emploi, sont enceint"
,,,,,,,,,,,4,"Job leavers, personal or family responsibilities","Ont quittï¿½ leur emploi, obligations personnelles ou familial"
,,,,,,,,,,,5,"Job leavers, going to school","Ont quittï¿½ leur emploi, vont ï¿½ l'ï"
,,,,,,,,,,,6,"Job leavers, dissatisfied","Ont quittï¿½ leur emploi, insatisfacti"
,,,,,,,,,,,7,"Job leavers, retired","Ont quittï¿½ leur emploi, ont pris leur retrai"
,,,,,,,,,,,8,"Job leavers, business sold or closed down (self-employed)","Ont quittï¿½ leur emploi, ont vendu ou fermï¿½ l'entreprise (travailleurs autono"
,,,,,,,,,,,9,"Job losers, end of seasonal job (employee)","Ont perdu leur emploi, fin de l'emploi saisonnier (employï¿½"
,,,,,,,,,,,10,"Job losers, end of temporary or casual (employee)","Ont perdu leur emploi, fin de l'emploi temporaire ou occasionnel (employï¿½"
,,,,,,,,,,,11,"Job losers, company moved or out of business (employee)","Ont perdu leur emploi, l'entreprise a dï¿½mï¿½nagï¿½ ou a fermï¿½ (e"
,,,,,,,,,,,12,"Job losers, business conditions (employee)","Ont perdu leur emploi, conjoncture ï¿½conomique (employï"
,,,,,,,,,,,13,"Job losers, dismissal or other reasons","Ont perdu leur emploi, congï¿½diement ou autres raiso"
,,,,,,,,,,,blank,Not applicable,Indisponible
100,3,1976,,durjless,Duration of joblessness (months),Durï¿½e de la pï¿½riode sans emploi (m,Not currently employed and not in the labour force,Prï¿½sentement non occupï¿½ et ina,,,,,
,,,,,,,,,,,1-240,,
,,,,,,,,,,,blank,Not applicable,Indisponible
103,1,1976,,availabl,Availability during the reference week,Disponibilitï¿½ durant la semaine de rï¿½fï¿,,,,,,,
,,,,,,,,,,,1,Not available,Non disponible
,,,,,,,,,,,2,"Yes, available","Oui, disponible"
,,,,,,,,,,,blank,Not applicable,Indisponible
104,1,1976,,lkpubag,"Unemployed, used public employment agency","Chï¿½meurs, recherche par l'entremise d'une agence de placement publiq",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
105,1,1976,,lkemploy,"Unemployed, checked with employers directly","Chï¿½meurs, recherche directement auprï¿½s des employ",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
106,1,1976,,lkrels,"Unemployed, checked with friends or relatives","Chï¿½meurs, recherche auprï¿½s d'amis ou de par",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
107,1,1976,,lkatads,"Unemployed, looked at job ads","Chï¿½meurs, consultation des annonces d'offres d'empl",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
108,1,1976,,lkansads,"Unemployed, placed or answered ads","Chï¿½meurs, placement d'une annonce ou rï¿½ponse ï¿½ une offre d'",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
109,1,1976,,lkothern ,"Unemployed, other methods","Chï¿½meurs, autres mï¿½th",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,blank,Not applicable,Indisponible
110,1,1976,,prioract,Main activity before started looking for work,Activitï¿½ principale avant de commencer ï¿½ chercher du tra,Unemployed job searchers only,Chï¿½meurs ï¿½ la recherche d'un emploi seule,,,,,
,,,,,,,,,,,0,Other,Autre
,,,,,,,,,,,1,Working,Travaillaient
,,,,,,,,,,,2,Managing a home,Tenaient maison
,,,,,,,,,,,3,Going to school,Allaient ï¿½ l'ï¿½
,,,,,,,,,,,blank,Not applicable,Indisponible
112,1,1997,,ynolook,Reason for not looking for work during the reference week,Raisons pour ne pas chercher d'emploi durant la semaine de rï¿½fï¿½r,,,,,,,
,,,,,,,,,,,0,"Wanted work, reason - other","Voulaient travailler, raison - autres"
,,,,,,,,,,,1,"Wanted work, reason - own illness or disability","Voulaient travailler, raison - maladie ou incapacitï"
,,,,,,,,,,,2,"Wanted work, reason - caring for children","Voulaient travailler, raison - soins des enfants"
,,,,,,,,,,,3,"Wanted work, reason - other personal or family responsibilities","Voulaient travailler, raison - autres obligations personnelles ou familiales"
,,,,,,,,,,,4,"Wanted work, reason - school","Voulaient travailler, raison - ï¿½co"
,,,,,,,,,,,5,"Wanted work, reason - awaiting recall or reply","Voulaient travailler, raison - en attente d'un appel ou rï¿½pon"
,,,,,,,,,,,6,"Wanted work, reason - discouraged","Voulaient travailler, raison - dï¿½courag"
,,,,,,,,,,,blank,Not applicable,Indisponible
113,1,1976,,tlolook,"Temporary layoff, looked for work during the last four weeks","Mise ï¿½ pied temporaire, personnes qui avaient cherchï¿½ du travail durant les quatre derniï¿½res se",,,,,,,
,,,,,,,,,,,1,Yes,Oui
,,,,,,,,,,,2,No,Non
,,,,,,,,,,,blank,Not applicable,Indisponible
114,1,2017,,schooln,Current student status,Statut d'ï¿½tudiant actue,,,,,,,
,,,,,,,,,,,1,Non-student,Non-ï¿½tudian
,,,,,,,,,,,2,Full-time student,ýtudiants ý temps plein
,,,,,,,,,,,3,Part-time student,ýtudiants ý temps partiel
,,,,,,,,,,,blank,Not applicable,Indisponible
116,2,1976,,efamtype,Type of economic family,Genre de famille ï¿½conomiq,From viewpoint of reference person,Du point de vue de la personne de rï¿½fï¿½r,,,,,
,,,,,,,,,,,1,Person not in an economic family,Personne hors famille ï¿½conomiq
,,,,,,,,,,,2,"Dual-earner couple, no children or none under 25","Famille comptant un couple avec deux soutiens, pas dï¿½enfant ou aucun enfant de moins de 25ï¿"
,,,,,,,,,,,3,"Dual-earner couple, youngest child 0 to 17","Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,4,"Dual-earner couple, youngest child 18 to 24","Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 18 et 24 ans"
,,,,,,,,,,,5,"Single-earner couple, male employed, no children or none under 25","Famille comptant un couple avec un homme comme soutien, pas dï¿½enfant ou aucun enfant de moins de 25ï¿"
,,,,,,,,,,,6,"Single-earner couple, male employed, youngest child 0 to 17","Famille comptant un couple avec un homme comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,7,"Single-earner couple, male employed, youngest child 18 to 24","Famille comptant un couple avec un homme comme soutien, dont le plus jeune enfant a entre18 et 24 ans"
,,,,,,,,,,,8,"Single-earner couple, female employed, no children or none under 25","Famille comptant un couple avec une femme comme soutien, pas dï¿½enfant ou aucun enfant de moins de 25ï¿"
,,,,,,,,,,,9,"Single-earner couple, female employed, youngest child 0 to 17","Famille comptant un couple avec une femme comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,10,"Single-earner couple, female employed, youngest child 18 to 24","Famille comptant un couple avec une femme comme soutien, dont le plus jeune enfant a entre18 et 24 ans"
,,,,,,,,,,,11,"Non-earner couple, no children or none under 25","Famille comptant un couple sans soutien, pas dï¿½enfant ou aucun enfant de moins de 25ï¿"
,,,,,,,,,,,12,"Non-earner couple, youngest child 0 to 17","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,13,"Non-earner couple, youngest child 18 to 24","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 18 et 24 ans"
,,,,,,,,,,,14,"Lone-parent family, parent employed, youngest child 0 to 17","Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,15,"Lone-parent family, parent employed, youngest child 18 to 24","Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 18 et 24 ans"
,,,,,,,,,,,16,"Lone-parent family, parent not employed, youngest child 0 to 17","Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 0 et 17 ans"
,,,,,,,,,,,17,"Lone-parent family, parent not employed, youngest child 18 to 24","Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 18 et 24 ans"
,,,,,,,,,,,18,Other families,Autres Familles
132,1,2017,,agyownk,Age of youngest child,Lï¿½ï¿½ge du plus jeune en,On parent(s) record only,Sur l'observation du ou des parents seulement,,,,,
,,,,,,,,,,,1,Youngest child less than 6 years,Plus jeune enfant de moins de 6 ans
,,,,,,,,,,,2,Youngest child 6 to 12 years,Plus jeune enfant de 6 ï¿½ 12 a
,,,,,,,,,,,3,Youngest child 13 to 17 years,Plus jeune enfant de 13 ï¿½ 17 a
,,,,,,,,,,,4,Youngest child 18 to 24 years,Plus jeune enfant de 18 ï¿½ 24 a
,,,,,,,,,,,blank,Not applicable,Indisponible
134,5,1976,,finalwt,Standard final weight,Le poids final standard,,,,,,,
,,,,,,,,,,,1-99999,,
